"ID","Salmean"
1,34.222549
2,34.222549
3,34.222549
4,34.222549
5,34.222549
6,34.242378
7,34.242378
8,34.222549
9,34.242378
10,34.222549
11,34.222549
12,34.222549
13,34.175465
14,34.222549
15,34.171505
16,34.171505
17,34.171505
18,34.171505
19,NA
20,34.171505
21,34.171505
22,34.171505
23,34.171505
24,34.171505
25,34.127071
26,34.121006
27,34.127071
28,34.040314
29,34.040314
30,34.171505
31,34.171505
32,34.171505
33,34.171505
34,34.171505
35,NA
36,34.171505
37,NA
38,34.171505
39,34.175465
40,34.171505
41,34.127071
42,34.171505
43,34.171505
44,34.171505
45,34.171505
46,34.121006
47,34.127071
48,34.171505
49,34.171505
50,34.171505
51,34.171505
52,34.171505
53,34.171505
54,34.171505
55,34.171505
56,34.171505
57,34.127071
58,34.127071
59,34.127071
60,NA
61,NA
62,34.147289
63,34.147289
64,34.147289
65,34.147289
66,34.147289
67,34.147289
68,34.153065
69,34.147289
70,34.147289
71,34.153065
72,34.7645
73,34.708145
74,34.708145
75,34.708145
76,34.708145
77,34.71962
78,34.71962
79,34.915058
80,34.915058
81,34.915058
82,34.915058
83,34.915058
84,34.915058
85,34.915058
86,34.915058
87,34.915058
88,34.915058
89,34.915058
90,34.915058
91,34.915058
92,34.915058
93,34.915058
94,34.915058
95,34.915058
96,34.915058
97,34.915058
98,34.915058
99,34.915058
100,34.915058
101,34.915058
102,34.915058
103,34.915058
104,34.915058
105,34.915058
106,34.915058
107,34.915058
108,34.915058
109,34.915058
110,34.919975
111,34.919975
112,34.919975
113,34.919975
114,34.919975
115,34.918964
116,34.918964
117,34.918964
118,34.918964
119,34.918964
120,34.918964
121,34.918964
122,34.918964
123,34.918964
124,34.918964
125,34.918964
126,34.918964
127,34.918964
128,34.918964
129,34.918964
130,34.918964
131,34.918964
132,34.918964
133,34.918964
134,34.918964
135,34.918964
136,34.918964
137,34.918964
138,34.918964
139,34.918964
140,34.918964
141,34.924709
142,34.924709
143,34.924709
144,34.924709
145,34.924709
146,34.924709
147,34.924709
148,34.924709
149,34.924709
150,34.924156
151,34.924156
152,34.924156
153,34.924156
154,34.924156
155,34.924156
156,34.924156
157,34.924156
158,34.924156
159,34.924156
160,34.924156
161,34.924156
162,34.924156
163,34.916523
