"ID","RCP85meantemp_2100","RCP85maxtemp_2100","RCP85maxsal_2100"
1,11.8844995498657,17.4094676971436,33.827938079834
2,11.8844995498657,17.4094676971436,33.827938079834
3,11.8844995498657,17.4094676971436,33.827938079834
4,11.8844995498657,17.4094676971436,33.827938079834
5,11.8844995498657,17.4094676971436,33.827938079834
6,11.9052505493164,17.40309715271,34.0578308105469
7,11.9052505493164,17.40309715271,34.0578308105469
8,11.8844995498657,17.4094676971436,33.827938079834
9,11.9052505493164,17.40309715271,34.0578308105469
10,11.8844995498657,17.4094676971436,33.827938079834
11,11.8844995498657,17.4094676971436,33.827938079834
12,11.8844995498657,17.4094676971436,33.827938079834
13,11.8987693786621,17.4311294555664,33.8174781799316
14,11.8844995498657,17.4094676971436,33.827938079834
15,11.8753356933594,17.4291248321533,33.8181381225586
16,11.8753356933594,17.4291248321533,33.8181381225586
17,11.8753356933594,17.4291248321533,33.8181381225586
18,11.8753356933594,17.4291248321533,33.8181381225586
19,NA,NA,NA
20,11.8753356933594,17.4291248321533,33.8181381225586
21,11.8753356933594,17.4291248321533,33.8181381225586
22,11.8753356933594,17.4291248321533,33.8181381225586
23,11.8753356933594,17.4291248321533,33.8181381225586
24,11.8753356933594,17.4291248321533,33.8181381225586
25,11.8651943206787,17.4625854492188,33.8149795532227
26,11.8442831039429,17.4424533843994,33.6635437011719
27,11.8651943206787,17.4625854492188,33.8149795532227
28,11.8543863296509,17.4659824371338,35.3337516784668
29,11.8543863296509,17.4659824371338,35.3337516784668
30,11.8753356933594,17.4291248321533,33.8181381225586
31,11.8753356933594,17.4291248321533,33.8181381225586
32,11.8753356933594,17.4291248321533,33.8181381225586
33,11.8753356933594,17.4291248321533,33.8181381225586
34,11.8753356933594,17.4291248321533,33.8181381225586
35,NA,NA,NA
36,11.8753356933594,17.4291248321533,33.8181381225586
37,NA,NA,NA
38,11.8753356933594,17.4291248321533,33.8181381225586
39,11.8987693786621,17.4311294555664,33.8174781799316
40,11.8753356933594,17.4291248321533,33.8181381225586
41,11.8651943206787,17.4625854492188,33.8149795532227
42,11.8753356933594,17.4291248321533,33.8181381225586
43,11.8753356933594,17.4291248321533,33.8181381225586
44,11.8753356933594,17.4291248321533,33.8181381225586
45,11.8753356933594,17.4291248321533,33.8181381225586
46,11.8442831039429,17.4424533843994,33.6635437011719
47,11.8651943206787,17.4625854492188,33.8149795532227
48,11.8753356933594,17.4291248321533,33.8181381225586
49,11.8753356933594,17.4291248321533,33.8181381225586
50,11.8753356933594,17.4291248321533,33.8181381225586
51,11.8753356933594,17.4291248321533,33.8181381225586
52,11.8753356933594,17.4291248321533,33.8181381225586
53,11.8753356933594,17.4291248321533,33.8181381225586
54,11.8753356933594,17.4291248321533,33.8181381225586
55,11.8753356933594,17.4291248321533,33.8181381225586
56,11.8753356933594,17.4291248321533,33.8181381225586
57,11.8651943206787,17.4625854492188,33.8149795532227
58,11.8651943206787,17.4625854492188,33.8149795532227
59,11.8651943206787,17.4625854492188,33.8149795532227
60,NA,NA,NA
61,NA,NA,NA
62,11.8175020217896,17.3631381988525,35.3246078491211
63,11.8175020217896,17.3631381988525,35.3246078491211
64,11.8175020217896,17.3631381988525,35.3246078491211
65,11.8175020217896,17.3631381988525,35.3246078491211
66,11.8175020217896,17.3631381988525,35.3246078491211
67,11.8175020217896,17.3631381988525,35.3246078491211
68,11.8347291946411,17.3744468688965,34.9781303405762
69,11.8175020217896,17.3631381988525,35.3246078491211
70,11.8175020217896,17.3631381988525,35.3246078491211
71,11.8347291946411,17.3744468688965,34.9781303405762
72,10.3524436950684,15.4236545562744,33.6127586364746
73,10.3251848220825,15.5250444412231,34.8454093933105
74,10.3251848220825,15.5250444412231,34.8454093933105
75,10.3251848220825,15.5250444412231,34.8454093933105
76,10.3251848220825,15.5250444412231,34.8454093933105
77,10.3336019515991,15.5214605331421,34.1029853820801
78,10.3336019515991,15.5214605331421,34.1029853820801
