"ID","Y","X","Year_HGU","Grazing"
1,62.4363099999999,5.750573,2017,0
2,62.4316579999999,5.751736,2017,0
3,62.433852,5.7598,2017,0
4,62.4323989999999,5.763532,2017,0
5,62.432122,5.760512,2017,0
6,62.42338,5.73645,2017,0
7,62.4251679999999,5.734616,2017,0
8,62.43072,5.823459,2017,0
9,62.4215329999999,5.735533,2017,0
10,62.426588,5.820685,2017,0
11,62.427342,5.824905,2017,0
12,62.4280649999999,5.828789,2017,0
13,62.4165959999999,5.731244,2017,0
14,62.4258049999999,5.831711,2017,0
15,62.410223,5.807001,2017,0
16,62.4059099999999,5.803765,2017,0
17,62.403652,5.786301,2017,0
18,62.4020579999999,5.783965,2017,0
19,62.401234,5.834792,2017,0
20,62.3934349999999,5.818152,2017,0
21,62.39002,5.797551,2017,0
22,62.367682,5.785974,2017,0
23,62.349882,5.808684,2017,0
24,62.350155,5.786813,2017,0
25,62.294986,5.777065,2017,0
26,62.2684879999999,5.838746,2017,0
27,62.251308,5.810019,2017,0
28,62.2472119999999,5.844286,2017,0
29,62.2492299999999,5.843589,2017,0
30,62.350237,5.80842,2017,0
31,62.3409079999999,5.795357,2017,0
32,62.3415559999999,5.796748,2017,0
33,62.3430839999999,5.799276,2017,0
34,62.3393009999999,5.831167,2017,0
35,62.336944,5.848113,2017,0
36,62.3340299999999,5.806724,2017,0
37,62.3349789999999,5.849953,2017,0
38,62.33549,5.832434,2017,0
39,62.390255,5.7455,2017,0
40,62.3545609999999,5.775595,2017,0
41,62.332695,5.798385,2017,0
42,62.3768129999999,5.766895,2017,0
43,62.3550109999999,5.788792,2017,0
44,62.348089,5.779994,2017,0
45,62.3365039999999,5.777817,2017,0
46,62.3330229999999,5.835214,2017,0
47,62.3182949999999,5.773229,2017,0
48,62.369652,5.768137,2017,0
49,62.369532,5.770631,2017,0
50,62.35833,5.782299,2017,0
51,62.3605329999999,5.802002,2017,0
52,62.3548929999999,5.812045,2017,0
53,62.345728,5.815929,2017,0
54,62.33655,5.773987,2017,0
55,62.33518,5.806806,2017,0
56,62.3379169999999,5.824597,2017,0
57,62.3249879999999,5.757513,2017,0
58,62.3280829999999,5.786659,2017,0
