"ID","Y","X","Year_HGU","BO2_tempmax_bdmean","X.1","Y.1","optional"
25,62.294986,5.777065,2017,14.3581914901733,5.777065,62.294986,TRUE
26,62.2684879999999,5.838746,2017,15.0738115310669,5.838746,62.2684879999999,TRUE
27,62.251308,5.810019,2017,14.3581914901733,5.810019,62.251308,TRUE
28,62.2472119999999,5.844286,2017,8.42563629150391,5.844286,62.2472119999999,TRUE
29,62.2492299999999,5.843589,2017,8.42563629150391,5.843589,62.2492299999999,TRUE
34,62.3393009999999,5.831167,2017,14.5059967041016,5.831167,62.3393009999999,TRUE
35,62.336944,5.848113,2017,NA,5.848113,62.336944,TRUE
37,62.3349789999999,5.849953,2017,NA,5.849953,62.3349789999999,TRUE
38,62.33549,5.832434,2017,14.5059967041016,5.832434,62.33549,TRUE
46,62.3330229999999,5.835214,2017,15.0738115310669,5.835214,62.3330229999999,TRUE
53,62.345728,5.815929,2017,14.5059967041016,5.815929,62.345728,TRUE
56,62.3379169999999,5.824597,2017,14.5059967041016,5.824597,62.3379169999999,TRUE
72,68.54433,16.45428,2012,13.9959573745728,16.45428,68.54433,TRUE
110,70.535065,23.4994769999999,2016,8.71989822387695,23.4994769999999,70.535065,TRUE
111,70.535103,23.499393,2016,8.71989822387695,23.499393,70.535103,TRUE
112,70.5352239999999,23.499452,2016,8.71989822387695,23.499452,70.5352239999999,TRUE
113,70.535285,23.499426,2016,8.71989822387695,23.499426,70.535285,TRUE
114,70.5353309999999,23.4994799999999,2016,8.71989822387695,23.4994799999999,70.5353309999999,TRUE
115,70.534388,23.502547,2016,8.76428604125977,23.502547,70.534388,TRUE
116,70.5344379999999,23.502693,2016,8.76428604125977,23.502693,70.5344379999999,TRUE
117,70.5344359999999,23.502773,2016,8.76428604125977,23.502773,70.5344359999999,TRUE
118,70.5324449999999,23.5061539999999,2016,8.76428604125977,23.5061539999999,70.5324449999999,TRUE
119,70.5325239999999,23.506543,2016,8.76428604125977,23.506543,70.5325239999999,TRUE
120,70.5326,23.506682,2016,8.76428604125977,23.506682,70.5326,TRUE
121,70.532661,23.506843,2016,8.76428604125977,23.506843,70.532661,TRUE
122,70.5328099999999,23.506799,2016,8.76428604125977,23.506799,70.5328099999999,TRUE
123,70.54688,23.542877,2016,8.76428604125977,23.542877,70.54688,TRUE
124,70.5469269999999,23.543067,2016,8.76428604125977,23.543067,70.5469269999999,TRUE
125,70.5469429999999,23.5431829999999,2016,8.76428604125977,23.5431829999999,70.5469429999999,TRUE
126,70.546968,23.5432899999999,2016,8.76428604125977,23.5432899999999,70.546968,TRUE
127,70.5469489999999,23.543499,2016,8.76428604125977,23.543499,70.5469489999999,TRUE
128,70.5469329999999,23.543455,2016,8.76428604125977,23.543455,70.5469329999999,TRUE
129,70.546891,23.543489,2016,8.76428604125977,23.543489,70.546891,TRUE
130,70.546839,23.5436729999999,2016,8.76428604125977,23.5436729999999,70.546839,TRUE
131,70.5467749999999,23.5438769999999,2016,8.76428604125977,23.5438769999999,70.5467749999999,TRUE
132,70.546723,23.54361,2016,8.76428604125977,23.54361,70.546723,TRUE
