"ID","Year_HGU","Meantemp","Maxtemp","Buffer"
1,2017,9.18903160095215,13.8967561721802,"0km"
2,2017,9.18903160095215,13.8967561721802,"0km"
3,2017,9.18903160095215,13.8967561721802,"0km"
4,2017,9.18903160095215,13.8967561721802,"0km"
5,2017,9.18903160095215,13.8967561721802,"0km"
6,2017,9.18903160095215,13.8967561721802,"0km"
7,2017,9.18903160095215,13.8967561721802,"0km"
8,2017,9.5637378692627,14.179479598999,"0km"
9,2017,9.18903160095215,13.8967561721802,"0km"
10,2017,9.5637378692627,14.179479598999,"0km"
11,2017,9.5637378692627,14.179479598999,"0km"
12,2017,9.5637378692627,14.179479598999,"0km"
13,2017,8.7098913192749,12.3813285827637,"0km"
14,2017,9.5637378692627,14.179479598999,"0km"
15,2017,9.18903160095215,13.8967561721802,"0km"
16,2017,9.18903160095215,13.8967561721802,"0km"
17,2017,9.18903160095215,13.8967561721802,"0km"
18,2017,9.18903160095215,13.8967561721802,"0km"
19,2017,9.5637378692627,14.179479598999,"0km"
20,2017,9.5637378692627,14.179479598999,"0km"
21,2017,9.18903160095215,13.8967561721802,"0km"
22,2017,9.83022594451904,15.1104164123535,"0km"
23,2017,9.83022594451904,15.1104164123535,"0km"
24,2017,9.83022594451904,15.1104164123535,"0km"
25,2017,9.9742120107015,15.5432904561361,"10km"
26,2017,9.83022594451904,15.1104164123535,"10km"
27,2017,9.83148307800293,14.9809196472168,"15km"
28,2017,9.9742120107015,15.5432904561361,"15km"
29,2017,9.9742120107015,15.5432904561361,"15km"
30,2017,9.83022594451904,15.1104164123535,"0km"
31,2017,9.83022594451904,15.1104164123535,"0km"
32,2017,9.83022594451904,15.1104164123535,"0km"
33,2017,9.83022594451904,15.1104164123535,"0km"
34,2017,9.87127304077148,15.2492141723633,"10km"
35,2017,9.87127304077148,15.2492141723633,"10km"
36,2017,9.83022594451904,15.1104164123535,"0km"
37,2017,9.87127304077148,15.2492141723633,"10km"
38,2017,9.87127304077148,15.2492141723633,"10km"
39,2017,9.18903160095215,13.8967561721802,"0km"
40,2017,9.83022594451904,15.1104164123535,"0km"
41,2017,9.83022594451904,15.1104164123535,"0km"
42,2017,9.83022594451904,15.1104164123535,"0km"
43,2017,9.83022594451904,15.1104164123535,"0km"
44,2017,9.83022594451904,15.1104164123535,"0km"
45,2017,9.83022594451904,15.1104164123535,"0km"
